Old Name,New Name
EN-EN-15-CHINA-UIGHURPLANE-TABISH-120715-TW.zip,EN-EG-CHINA_UIGHURPLANETABISH-120715.zip
EN-EN-15-CUBA-POPEVISIT-200915.zip,EN-EG-CUBA_POPEVISIT-200915.zip
EN-EN-15-ECUADOR-PROTESTS-TABISH-110615-TW.zip,EN-EG-ECUADOR_PROTESTSTABISH-110615.zip
EN-EN-15-F16CRASH-ALEXIA-6252015.zip,EN-EG-F16CRASHALEXIA-010115.zip
EN-EN-15-FRANCE-MUDRUN-300615.zip,EN-EG-FRANCE_MUDRUN-300615.zip
EN-EN-15-GREECEPROTESTS-YOMNA-140715-TW.zip,EN-EG-GREECE_PROTESTSYOMNA-140715.zip
EN-EN-15-INDIA-RUSSELLBRAND-ADAM-010715-TW.zip,EN-EG-INDIA_RUSSELLBRANDADAM-010715.zip
EN-PL-VJ-PAKFEMCOMMANDOS-AASIM.zip,EN-NG-PAKFEMCOMMANDOSAASIM-010116.zip
EN-PL-VJ-PALESTINE-FOOTBALL-YOTAM-250515.zip,EN-NG-PALESTINE_FOOTBALLYOTAM-250515.zip
EN-PL-VJ-PALESTINE-PARKOUR.zip,EN-NG-PALESTINE_PARKOUR-010116.zip
EN-PL-VJ-QATAR-AMERICANFOOTBALL.zip,EN-NG-QATAR_AMERICANFOOTBALL-010116.zip
EN-PL-VJ-SKATEBORDING-MAHAPATRA-280515.zip,EN-NG-SKATEBORDINGMAHAPATRA-280515.zip
EN-PL-VJ-SOUTHAFRICA-CEO-MOULANG.zip,EN-NG-SOUTHAFRICA_CEOMOULANG-010116.zip
EN-PL-VJ-SYRIA-SMC-SZIANKO.zip,EN-NG-SYRIA_SMCSZIANKO-010116.zip
EN-PL-VJ-Turkey-ArmeniaDancer-Teson.zip,EN-NG-TURKEY_ARMENIADANCERTESON-010116.zip
EN-PL-VJ-Turkey-AtaturkTattoo-Teson.zip,EN-NG-TURKEY_ATATURKTATTOOTESON-010116.zip
