OLD NAME,NEW NAME
ES-NG-AMÉRICA-070319.zip,ES-NG-AMERICA-070319.zip
ES-NG-VARONESTRANSPADRES-310319.zip,ES-NG-VARONESTRANSPADRES-310319.zip
ES-NG-VENEZUELA-VOCESCHAVISMO-060219.zip,ES-NG-VENEZUELA_VOCESCHAVISMO-060219.zip
ES-RAW-ALCALDESACHICAGO-030419 .zip,ES-RT-RAW_ALCALDESACHICAGO-030419.zip
ES-RAW-AMLOPERDON-260319.zip,ES-RT-RAW_AMLOPERDON-260319.zip
ES-RAW-AMLOVISADO-280319.zip,ES-RT-RAW_AMLOVISADO-280319.zip
ES-RAW-CAMINATAESPACIAL-290319.zip,ES-RT-RAW_CAMINATAESPACIAL-290319.zip
ES-RAW-CANCIÓNMACHITOABORTO-120319.zip,ES-RT-RAW_CANCIONMACHITOABORTO-120319.zip
ES-RAW-CHILE-TIENENTODOSLOSDERECHOS-070319.zip,ES-RT-CHILE_RAWTIENENTODOSLOSDERECHOS-070319.zip
ES-RAW-CHIMPANCERESCATADO-290319.zip,ES-RT-RAW_CHIMPANCERESCATADO-290319.zip
ES-RAW-CRUCERONORUEGO-250319.zip,ES-RT-RAW_CRUCERONORUEGO-250319.zip
ES-RAW-CUEVADESAL-280319.zip,ES-RT-RAW_CUEVADESAL-280319.zip
ES-RAW-ENTREVISTAEGGBOY-250319.zip,ES-RT-RAW_ENTREVISTAEGGBOY-250319.zip
ES-RAW-ESPAÑA-8MBILBAO-080319.zip,ES-RT-RAW_ESPANA8MBILBAO-080319.zip
ES-RAW-GUAIDÓAYUDAHUMANITARIA-290319.zip,ES-RT-RAW_GUAIDOAYUDAHUMANITARIA-290319.zip
ES-RAW-LIMPIANRIOSEGURA-280319.zip,ES-RT-RAW_LIMPIANRIOSEGURA-280319.zip
ES-RAW-MEXICO-NIETASDELASBRUJAS-080319.zip,ES-RT-MEXICO_RAWNIETASDELASBRUJAS-080319.zip
ES-RAW-NIÑOSPERUCUBETA-270319.zip,ES-RT-RAW_NINOSPERUCUBETA-270319.zip
ES-RAW-NIÑOSSINNOMBREPIROPOS-110319.zip,ES-RT-RAW_NINOSSINNOMBREPIROPOS-110319.zip
ES-RAW-NZ-MINISTRA_190319.zip,ES-RT-NZ_RAWMINISTRA-190319.zip
ES-RAW-PAJARITOLIBRE_200319.zip.zip,ES-RT-RAW_PAJARITOLIBRE-200319.zip.zip
ES-RAW-PALETEROBALANDRA_270219.zip,ES-RT-RAW_PALETEROBALANDRA-270219.zip
ES-RAW-PAULMCARTNEYCHILE_210319.zip,ES-RT-RAW_PAULMCARTNEYCHILE-210319.zip
ES-RAW-PERRITOQUEMADO_120319.zip,ES-RT-RAW_PERRITOQUEMADO-120319.zip
ES-RAW-PERRITOVIEJITO_200319.zip,ES-RT-RAW_PERRITOVIEJITO-200319.zip
ES-RAW-PETCOBUEY_220319.zip,ES-RT-RAW_PETCOBUEY-220319.zip
ES-RAW-POPOCATEPETL_190319.zip,ES-RT-RAW_POPOCATEPETL-190319.zip
ES-RAW-REPRESIONBOLIVIA_200319.zip,ES-RT-RAW_REPRESIONBOLIVIA-200319.zip
ES-RAW-REPRESIONCAUCA_200319.zip,ES-RT-RAW_REPRESIONCAUCA-200319.zip
ES-RAW-TORNADOCHICHENITZA-250319.zip,ES-RT-RAW_TORNADOCHICHENITZA-250319.zip
ES-RAW-TORTUGASLIBERADAS-260319.zip,ES-RT-RAW_TORTUGASLIBERADAS-260319.zip
ES-RAW-YOYOMACDMX-270319.zip,ES-RT-RAW_YOYOMACDMX-270319.zip
ES-RAWS-060319.zip,ES-RT-RAWS-060319.zip
ES-RT-ABUELITAESTUDIANTE-210319.zip,ES-RT-ABUELITAESTUDIANTE-210319.zip
