OLD NAME,NEW NAME
 ES-RT-COSTARICA-SINEJÉRCITO-111218.zip,ES-RT-COSTARICASINEJERCITO-121118.zip
ES RAW-RUSIATIGRES-280119.zip,ES-RT-RAW_RUSIATIGRES-280119.zip
ES-AJV-CT-COMBUSTIBLERUMORES-090119.zip,ES-CT-AJV_COMBUSTIBLERUMORES-090119.zip
ES-AJV-RT-DEEPFAKEJLAW-310119.zip,ES-RT-AJV_DEEPFAKEJLAW-310119.zip
ES-AJV-RT-ESCASEZDEALIMENTOS-150119.zip,ES-RT-AJV_ESCASEZDEALIMENTOS-150119.zip
ES-AJV-RT-FAMILIARESEXPLOSION-220119.zip,ES-RT-AJV_FAMILIARESEXPLOSION-220119.zip
ES-AJV-RT-GASOLINAEEUUVIDEO-110119.zip,ES-RT-AJV_GASOLINAEEUUVIDEO-110119.zip
ES-CT-AJ-PRISIÓNPREVOFICIOSA-012419.zip,ES-CT-PRISIONPREVOFICIOSA-240119.zip
ES-CT-ERESUNCHAIRO-150119.zip,ES-CT-ERESUNCHAIRO-150119.zip
ES-CT-NTECHLAB-200219.zip,ES-CT-NTECHLAB-200219.zip
ES-DIGIDAY-280119.zip,ES-RT-DIGIDAY-280119.zip
ES-NG-ACUIFEROGUARANI-210918.zip,ES-NG-ACUIFEROGUARANI-210918.zip
ES-NG-VENEZUELA-VOCESOPOSICIÓN-310119.zip,ES-NG-VENEZUELA_VOCESOPOSICION-310119.zip
ES-RAW-BRASILDIQUE-250119.zip,ES-RT-RAW_BRASILDIQUE-250119.zip
ES-RAW-CLIMA 300119.zip,ES-RT-RAW_CLIMA-300119.zip
ES-RAW-ESPOSAVALDEZJUSTICIA-250119.zip,ES-RT-RAW_ESPOSAVALDEZJUSTICIA-250119.zip
ES-RAW-MADURO 300119.zip,ES-RT-RAW_MADURO-300119.zip
ES-RAW-VENEZUELA-TOMAPROTESTA-230119.zip,ES-RT-VENEZUELA_RAWTOMAPROTESTA-230119.zip
ES-RAW-YALITZA.zip,ES-RT-RAW_YALITZA-000000.zip
ES-RT-NICARAGUA-EURODIPUTADOSPRESAS-260119.zip,ES-RT-NICARAGUA_EURODIPUTADOSPRESAS-260119.zip
ES-RT-NORUEGA-PAPAFROZEN-250119.zip,ES-RT-NORUEGAPAPAFROZEN-250119.zip
ES-RT-PUERTORICO-ASESINATOKEVINFRET-110119.zip,ES-RT-PUERTORICO_ASESINATOKEVINFRET-110119.zip
ES-RT-QUIENESABRAMS-290119.zip,ES-RT-QUIENESABRAMS-290119.zip
ES-RT-VENEZUELA-AJE-QUÉHAYDETRÁSDELACRISIS-280119.zip,ES-RT-VENEZUELA_AJEQUEHAYDETRASDELACRISIS-280119.zip
ES-RT-VENEZUELA-FAMOSOS-230118.zip,ES-RT-VENEZUELA_FAMOSOS-230118.zip
ES-RT-VENEZUELA-LEVANTAMIENTOCOTIZA-210119.zip,ES-RT-VENEZUELA_LEVANTAMIENTOCOTIZA-210119.zip
ES-RT-VENEZUELA-QUIENESJUANGUAIDO-230119.zip,ES-RT-VENEZUELA_QUIENESJUANGUAIDO-230119.zip
ES-VJ-MEXICO-FISCALCRIMENESPASADO-051018.zip,ES-NG-MEXICO_FISCALCRIMENESPASADO-051018.zip
YT-PROMO-FASE1-V02-220119.zip,AR-RT-PROMOFASE1V02-220119.zip
