OLD NAME,NEW NAME
ARA-010216-RT-EGYPT-GAWEESH,AR-RT-EGYPT_GAWEESH-010216
ARA-010216-RT-HOLLAND-DRIVERLESSBUS,AR-RT-HOLLANDDRIVERLESSBUS-010216
ARA-010315-RT-IRAN-ELECTIONS,AR-RT-IRAN_ELECTIONS-010315
ARA-010316-PALESTINE-MARKET,AR-RT-PALESTINE_MARKET-010316
ARA-010316-RT-JORDAN-ZAATARIWOMEN-VJ-OX,AR-NG-JORDAN_ZAATARIWOMEN-010316
ARA-010316-RT-PALESTINE-ALNAYEF,AR-RT-PALESTINE_ALNAYEF-010316
ARA-010516-CT-LABORDAY,AR-CT-LABORDAY-010516
ARA-010516-CT-SCHENGEN,AR-CT-SCHENGEN-010516
ARA-010516-EGYPT-STREETCINEMA,AR-RT-EGYPT_STREETCINEMA-010516
ARA-010616-RT-HONGKONG-DIAMONDRECORD,AR-RT-HONGKONGDIAMONDRECORD-010616
ARA-010716-RT-BOSNIA-CANNON-MG,AR-RT-BOSNIACANNON-010716
ARA-010716-RT-GAZA-MESAHARATY-JA,AR-RT-GAZA_MESAHARATY-010716
ARA-010916-RT-CHINA-FAKEBOYFRIEND-VJ,AR-NG-CHINA_FAKEBOYFRIEND-010916
ARA-010916-RT-TUNISIA-KASSERINE,AR-RT-TUNISIA_KASSERINE-010916
ARA-011016-CT-STEROIDS,AR-CT-STEROIDS-011016
ARA-020216-RT-FGHANISTAN-DANCINGBOYS,AR-RT-FGHANISTANDANCINGBOYS-020216
ARA-020216-RT-TUNISIA-UNEMPLOYE-VJ-SG,AR-NG-TUNISIA_UNEMPLOYE-020216
ARA-020216-RT-TURKEY-MOREREFUGEES,AR-RT-TURKEY_MOREREFUGEES-020216
ARA-020216-SUDANPOTTERY,AR-RT-SUDANPOTTERY-020216
ARA-020216-TP-1x04-PHONESECURITY,AR-SH-TP_S1X04_PHONESECURITY-020216
ARA-020316-RT-QATAR-THEPEARL,AR-RT-QATAR_THEPEARL-020316
ARA-020316-RT-WORLD-KIDDLE,AR-RT-WORLD_KIDDLE-020316
ARA-020516-RT-EGYPT-JOURNALISMATTACK,AR-RT-EGYPT_JOURNALISMATTACK-020516
ARA-020516-RT-PALESTINE-SPEEDSISTERS,AR-RT-PALESTINE_SPEEDSISTERS-020516
ARA-020516-RT-SAUDI-BINLADINBUSES,AR-RT-SAUDI_BINLADINBUSES-020516
ARA-020516-UK-FREEDIVINGRECORD,AR-RT-UK_FREEDIVINGRECORD-020516
ARA-020616-XX-CT-BDS,AR-CT-BDS-020616
ARA-020916-RT-EGYPT-PARIS-FASHION,AR-RT-EGYPT_PARISFASHION-020916
ARA-021116-CT-EXP,AR-CT-EXP-021116
ARA-021116-FTY-RT-US-SPINACH,AR-RT-US_SPINACH-021116
ARA-021116-FYT-RT-EGYPT-BARADIE,AR-RT-EGYPT_BARADIE-021116
ARA-021116-RT-JAPAN-SUMOCAT,AR-RT-JAPAN_SUMOCAT-021116
ARA-021116-VJ-MOROCCO-FREESTYLE,AR-NG-MOROCCO_FREESTYLE-021116
ARA-24216-PALESTINE-IRAQCONFLICT,AR-RT-PALESTINE_24216IRAQCONFLICT-000000
ARA-030115-CT-LEBANON-POLITICALREGIMEEXPLAINER,AR-CT-LEBANON_POLITICALREGIMEEXPLAINER-030115
ARA-030116-RT-60-EGYPT-HAZEMABDELADIM,AR-RT-EGYPT_HAZEMABDELADIM-030116
ARA-030116-RT-60-PALESTINE-HEBRONMARTYERS,AR-RT-PALESTINE_HEBRONMARTYERS-030116
ARA-030116-RT-ALGERIA-AITAHMEDFUNERAL,AR-RT-ALGERIA_AITAHMEDFUNERAL-030116
ARA-030216-RT-GREECE-NOBEL,AR-RT-GREECE_NOBEL-030216
ARA-030216-RT-QATAR-FIRSTCAR,AR-RT-QATAR_FIRSTCAR-030216
ARA-030216-RT-SYRIA-ALEPPOSTRIKES,AR-RT-SYRIA_ALEPPOSTRIKES-030216
ARA-030216-SUDAN-POTTERY,AR-RT-SUDAN_POTTERY-030216
ARA-030316-MM-1x17-KAZDOORA,AR-SH-MM_S1X17_KAZDOORA-030316
ARA-030316-PALESTINE-STRIKE,AR-RT-PALESTINE_STRIKE-030316
ARA-030316-RT-SUDAN-HUNGERSTRIKE,AR-RT-SUDAN_HUNGERSTRIKE-030316
ARA-030316-RT-SYRIA-PROTESTS,AR-RT-SYRIA_PROTESTS-030316
ARA-030416-CT-CAUCASUS,AR-CT-CAUCASUS-030416
ARA-030416-LEBANON-ATTACK,AR-RT-LEBANON_ATTACK-030416
ARA-030416-MM-1x20-KADISSA,AR-SH-MM_S1X20_KADISSA-030416
ARA-030416-XX-CT-CAUCASUS,AR-CT-CAUCASUS-030416
ARA-030516-RT-EGYPT-ALFESEIKH,AR-RT-EGYPT_ALFESEIKH-030516
ARA-030516-RT-US-OLDLADY,AR-RT-US_OLDLADY-030516
ARA-030516-TURKEY-FIGHT,AR-RT-TURKEY_FIGHT-030516
ARA-030716-RT-GERMANY-ELEPHANT,AR-RT-GERMANY_ELEPHANT-030716
ARA-030816-CT-SAUDIWHITELAND,AR-CT-SAUDIWHITELAND-030816
ARA-031016-CT-USELECTIONS,AR-CT-USELECTIONS-031016
ARA-031016-CT-USELECTIONS-new,AR-CT-USELECTIONSNEW-031016
ARA-031116-US-RT-FORBES2016,AR-RT-US_FORBES2016-031116
ARA-031216-RT-60-SAUDI-NIMIR,AR-RT-SAUDI_NIMIR-120316
ARA-040116-RT-60-FRANCE-PALESTINEEXHIBITION,AR-RT-FRANCE_PALESTINEEXHIBITION-040116
ARA-040116-RT-USA-OREGONUNDERATTACK,AR-RT-USA_OREGONUNDERATTACK-040116
ARA-040216-RT-CANADA-REFUGEES-VJ,AR-NG-CANADA_REFUGEES-040216
ARA-040216-RT-GREECE-STRIKE,AR-RT-GREECE_STRIKE-040216
ARA-040216-RT-MOROCCO-ABDERHMAN,AR-RT-MOROCCO_ABDERHMAN-040216
ARA-040216-RT-PALESTINE-3FEDAI,AR-RT-PALESTINE_3FEDAI-040216
ARA-040216-RT-PALESTINE-JERUSALEMCAMPAIN,AR-RT-PALESTINE_JERUSALEMCAMPAIN-040216
ARA-040416-BELGIUM-WOMANATTACK,AR-RT-BELGIUM_WOMANATTACK-040416
ARA-040416-RT-WORLD-PANAMAPAPERS,AR-RT-WORLD_PANAMAPAPERS-040416
ARA-040516-RT-ARAB-TRANSPARENCY,AR-RT-ARABTRANSPARENCY-040516
ARA-040516-RT-SYRIE-DOCTOR,AR-RT-SYRIEDOCTOR-040516
ARA-040516-RT-TURKEY-KAREEMAT,AR-RT-TURKEY_KAREEMAT-040516
ARA-040516-US-DEER,AR-RT-US_DEER-040516
ARA-040516-US-SOLARPLANE,AR-RT-US_SOLARPLANE-040516
ARA-040716-GERMANY-FLYINGCARPET,AR-RT-GERMANY_FLYINGCARPET-040716
ARA-040716-RT-IRAQ-KARADA,AR-RT-IRAQ_KARADA-040716
ARA-040716-RT-MALTA-MOAS-SM,AR-RT-MALTA_MOAS-040716
ARA-040716-RT-NABLUS-SWEETS,AR-RT-NABLUSSWEETS-040716
ARA-041016-RT-PHILIPPINS-CEMETRY2-VJ-SP,AR-NG-PHILIPPINSCEMETRY2-041016
ARA-041016-RT-PHILIPPINS-CEMETRY3-VJ-SP,AR-NG-PHILIPPINSCEMETRY3-041016
ARA-041016-RT-PHILIPPINS-CEMETRY-VJ-SP,AR-NG-PHILIPPINSCEMETRY-041016
ARA-041016-VJ-KENYA-KARATE,AR-NG-KENYA_KARATE-041016
ARA-041016-VJ-PHILIPPINE-CEMETRY,AR-NG-PHILIPPINECEMETRY-041016
ARA-041116-RT-FTY-EGYPT-POUND,AR-RT-EGYPT_POUND-041116
ARA-041116-RT-TURKEY-HDPARRESTS,AR-RT-TURKEY_HDPARRESTS-041116
ARA-041216-RT-60-SAUDI-NIMIR,AR-RT-SAUDI_NIMIR-120416
ARA-050116-RT-60-SAUDI-SAUDIIRANRELATIONS,AR-RT-SAUDI_SAUDIIRANRELATIONS-050116
ARA-050116-RT-60-USA-TRUMPAD,AR-RT-USA_TRUMPAD-050116
ARA-050116-RT-60-WORLD-APPBABYTRANSLATOR,AR-RT-WORLD_APPBABYTRANSLATOR-050116
ARA-050116-RT-60-YEHYAAYASH-PALESTINE,AR-RT-PALESTINE_YEHYAAYASH-050116
ARA-050416-ATLANTICOCEAN-UNDERWATER,AR-RT-ATLANTICOCEANUNDERWATER-050416
ARA-050416-ICELAND-PROTEST,AR-RT-ICELAND_PROTEST-050416
