Old Name,New Name
EN-EN-15-INDIA-TRAINCRASH-TABISH-LISA-290615.zip,EN-EG-INDIA_TRAINCRASHTABISHLISA-290615.zip
EN-EN-15-INDIA-TRAINSDERAILED-YOMNA-050815.zip,EN-EG-INDIA_TRAINSDERAILEDYOMNA-050815.zip
EN-EN-15-IRAN-CELEBRATIONS-ALEXIA-150715-TW.zip,EN-EG-IRAN_CELEBRATIONSALEXIA-150715.zip
EN-EN-15-IRAQ-BOMBACCIDENT-TABISH-060715-TW.zip,EN-EG-IRAQ_BOMBACCIDENTTABISH-060715.zip
EN-EN-15-ISTANBULWATERCANNON-ALEXIA-290615-TW.zip,EN-EG-ISTANBULWATERCANNONALEXIA-290615.zip
EN-EN-15-ITALY-MIGRANTS-KHEIRA-140615-TW.zip,EN-EG-ITALY_MIGRANTSKHEIRA-140615.zip
EN-EN-15-ITALY-PIZZARECORD-230615.zip,EN-EG-ITALY_PIZZARECORD-230615.zip
EN-EN-15-JAPAN-TRAIN-TABISH-300615-TW.zip,EN-EG-JAPAN_TRAINTABISH-300615.zip
EN-EN-15-KENYA-OBAMADANCING-ADAM-260715-TW.zip,EN-EG-KENYA_OBAMADANCINGADAM-260715.zip
EN-EN-15-MEXICO-CHAPOESCAPE-TABISH-150715.zip,EN-EG-MEXICO_CHAPOESCAPETABISH-150715.zip
EN-EN-15-MYANMAR-REPORTERINFLOOD-ADAM-040815-TW.zip,EN-EG-MYANMAR_REPORTERINFLOODADAM-040815.zip
EN-EN-15-NEWJERSEY-SOCCERCLASH-100815.zip,EN-EG-NEWJERSEYSOCCERCLASH-100815.zip
EN-EN-15-PALESTINE-ARSONATTACK-090815.zip,EN-EG-PALESTINE_ARSONATTACK-090815.zip
EN-EN-15-THAIPOLICEDANCE-ALEXIA-300615-TW.zip,EN-EG-THAIPOLICEDANCEALEXIA-300615.zip
EN-EN-15-TRUMPSPEECH-ALEXIA-071215.zip,EN-EG-TRUMPSPEECHALEXIA-071215.zip
EN-EN-15-TURKEY-CLASH-100815.zip,EN-EG-TURKEY_CLASH-100815.zip
EN-EN-15-UK-BRANDTUNISIA-SAKHR-050715-TW.zip,EN-EG-UK_BRANDTUNISIASAKHR-050715.zip
EN-EN-15-UK-TOEWRESTLING-KHEIRA-170615.zip,EN-EG-UK_TOEWRESTLINGKHEIRA-170615.zip
EN-EN-15-UK-WW2BOMB-110815-TW.zip,EN-EG-UK_WW2BOMB-110815.zip
EN-EN-15-UKRAINE-OILFIRE-TABISH-090615-TW.zip,EN-EG-UKRAINE_OILFIRETABISH-090615.zip
EN-EN-15-US-CHARLESTONBRIDGE-220615-TW.zip,EN-EG-US_CHARLESTONBRIDGE-220615.zip
EN-EN-15-US-COPDONUT-TABISH-080715-TW.zip,EN-EG-US_COPDONUTTABISH-080715.zip
EN-EN-15-US-JAMESTOWN-ADAM-290715-TW.zip,EN-EG-US_JAMESTOWNADAM-290715.zip
EN-EN-15-US-SPACEX-TABISH-290615-TW.zip,EN-EG-US_SPACEXTABISH-290615.zip
EN-EN-15-US-UNDOSEND-TABISH-240615.zip,EN-EG-US_UNDOSENDTABISH-240615.zip
EN-EN-15-USA-PARAGLIDER-110815-TW.zip,EN-EG-USA_PARAGLIDER-110815.zip
EN-EN-15-WHALESHARK-TABISH-220615.zip,EN-EG-WHALESHARKTABISH-220615.zip
EN-EN-30-CALFORNIA-WILDFIRE-ADAM-030815-TW.zip,EN-EG-CALFORNIAWILDFIREADAM-030815.zip
EN-EN-30-CROATIA-REFUGEESTRAIN-200915.zip,EN-EG-CROATIA_REFUGEESTRAIN-200915.zip
EN-EN-30-EUROREFUGEES-SERBIACHILDREN-160915.zip,EN-EG-SERBIA_EUROREFUGEESCHILDREN-160915.zip
EN-EN-30-EUROREFUGEES-SERBIAFENCE-160915.zip,EN-EG-SERBIA_EUROREFUGEESFENCE-160915.zip
EN-EN-30-FERGUSON-COPBODYSLAM-120815-TW.zip,EN-EG-FERGUSONCOPBODYSLAM-120815.zip
EN-EN-30-FRANCE-FIRE-020915.zip,EN-EG-FRANCE_FIRE-020915.zip
EN-EN-30-INDIA-KRISHNABDAY.zip,EN-EG-INDIA_KRISHNABDAY-010116.zip
EN-EN-30-ISRAEL-PROTESTS-ADAM-020815-TW.zip,EN-EG-ISRAEL_PROTESTSADAM-020815.zip
EN-EN-30-KAZAKHSTAN-SOYUZ-020915.zip,EN-EG-KAZAKHSTAN_SOYUZ-020915.zip
EN-EN-30-LEBANON-TRASHPROTEST-230815.zip,EN-EG-LEBANON_TRASHPROTEST-230815.zip
EN-EN-30-LIBYA-GADDAFISONTORTURE-YOMNA-050815.zip,EN-EG-LIBYA_GADDAFISONTORTUREYOMNA-050815.zip
EN-EN-30-MUMBAI-FREEHUGS-110815.zip,EN-EG-MUMBAIFREEHUGS-110815.zip
EN-EN-30-OBAMA-IRANDEAL-YOMNA-140715.zip,EN-EG-IRAN_OBAMADEALYOMNA-140715.zip
EN-EN-30-PERU-ANTIUS-020915.zip,EN-EG-PERU_ANTIUS-020915.zip
EN-EN-30-PLANE-FIRE-090915.zip,EN-EG-PLANEFIRE-090915.zip
EN-EN-30-REFUGEE-BISCUITS-070915.zip,EN-EG-REFUGEEBISCUITS-070915.zip
EN-EN-30-RUSSIA-PUTINGYM-310815.zip,EN-EG-RUSSIA_PUTINGYM-310815.zip
EN-EN-30-RUSSIA-WILDFIRES-110815-TW.zip,EN-EG-RUSSIA_WILDFIRES-110815.zip
EN-EN-30-SUPERHUMANCYCLIST-YOMNA-280715.zip,EN-EG-SUPERHUMANCYCLISTYOMNA-280715.zip
EN-EN-30-TAIWAN-PAINTING-250815.zip,EN-EG-TAIWAN_PAINTING-250815.zip
EN-EN-30-TAIWAN-TYPHOON-100815.zip,EN-EG-TAIWAN_TYPHOON-100815.zip
EN-EN-30-TIANJIN-FIREFIGHTER-160815-TW.zip,EN-EG-TIANJINFIREFIGHTER-160815.zip
EN-EN-30-TOVARNIK-TRAINTIMELAPSE-170915.zip,EN-EG-TOVARNIKTRAINTIMELAPSE-170915.zip
EN-EN-30-TURKEY-PROTESTS-ADAM-270715-TW.zip,EN-EG-TURKEY_PROTESTSADAM-270715.zip
EN-EN-30-US-CALIFIRES-140915.zip,EN-EG-US_CALIFIRES-140915.zip
EN-EN-30-US-JAYZCOURT-221015.zip,EN-EG-US_JAYZCOURT-221015.zip
EN-EN-30-US-OREGONWILDFIRES-180815-TW.zip,EN-EG-US_OREGONWILDFIRES-180815.zip
EN-EN-30-US-UTAHFLOODS-160915.zip,EN-EG-US_UTAHFLOODS-160915.zip
EN-EN-EGYPT-CAIROBOMB-200815.zip,EN-EG-EGYPT_CAIROBOMB-200815.zip
EN-EN-FLORIDASINKHOLE-200815.zip,EN-EG-FLORIDASINKHOLE-200815.zip
EN-EN-RT-BALFOURPTC-311017.zip,EN-EG-BALFOURPTC-311017.zip
EN-EN-SHORT-MALALA-SYRIASCHOOL-ANIS-120715.zip,EN-EG-SYRIA_MALALASCHOOLANIS-120715.zip
EN-EN-SYRIA-ISISBURQA-SAKHR-110615-TW.zip,EN-EG-SYRIA_ISISBURQASAKHR-110615.zip
EN-PL-VJ-CHILDLABOR-110615.zip,EN-NG-CHILDLABOR-110615.zip
EN-PL-VJ-EU-MIGRANTS-SAKHR-050515.zip,EN-NG-EUMIGRANTSSAKHR-050515.zip
EN-PL-VJ-EUROMIGRATION-CHANNELCROSSER-HOLMES-120815.zip,EN-NG-EUROMIGRATIONCHANNELCROSSERHOLMES-120815.zip
EN-PL-VJ-GAYRELIGIOUS-SAKHR-140615.zip,EN-NG-GAYRELIGIOUSSAKHR-140615.zip
EN-PL-VJ-GAZAEXAMS-ODGAARD.zip,EN-NG-GAZA_EXAMSODGAARD-010116.zip
EN-PL-VJ-GAZAMUSIC-RAMADAN.zip,EN-NG-GAZA_MUSICRAMADAN-010116.zip
