OLD NAME,NEW NAME
EN-RT-60-PALESTINE-BODYBUILDER-030915.zip,ES-RT-PALESTINE_BODYBUILDER-030915.zip
EN-RT-60-PALESTINE-MARATHON-SAKHR-290315.zip,ES-RT-PALESTINE_MARATHON-290315.zip
EN-RT-60-PALESTINE-NETANYAHUELEXREACTIONS-SAKHR-230315.zip,ES-RT-PALESTINE_NETANYAHUELEXREACTIONS-230315.zip
EN-RT-60-PALESTINE-PRICETAG-SAKHR-150415.zip,ES-RT-PALESTINE_PRICETAG-150415.zip
EN-RT-60-PALESTINE-RAP-SAKHR-160415.zip,ES-RT-PALESTINE_RAP-160415.zip
EN-RT-60-PERU-COCAINESMUGGLERS-TABISH-070515.zip,ES-RT-PERU_COCAINESMUGGLERS-070515.zip
EN-RT-60-POLICEBRUTALITY-SKIDROWSHOOTING-TAREK-020315.zip,ES-RT-POLICEBRUTALITYSKIDROWSHOOTING-020315.zip
EN-RT-60-RESISTANCEART-BANKSYGAZA-ZACH-260215.zip,ES-RT-RESISTANCEARTBANKSYGAZA-260215.zip
EN-RT-60-RUSSIA-MH17FAKE-130815.zip,ES-RT-RUSSIA_MH17FAKE-130815.zip
EN-RT-60-RUSSIA-NEMTSOVKILLED-TAREK-010315.zip,ES-RT-RUSSIA_NEMTSOVKILLED-010315.zip
EN-RT-60-SA-BASHIR-KHEIRA-150615.zip,ES-RT-BASHIR-150615.zip
EN-RT-60-SA-NANDOS-SAKHR-270415.zip,ES-RT-SANDOS-270415.zip
EN-RT-60-SAUDI-CARDRIFTING-SUMMAQAH-150315.zip,ES-RT-SAUDI_CARDRIFTING-150315.zip
EN-RT-60-SAUDI-FOOTBALLMONEY-SUMMAQAH-070415.zip,ES-RT-SAUDI_FOOTBALLMONEY-070415.zip
EN-RT-60-SAUDI-FUNERAL-SAKHR-260515.zip,ES-RT-SAUDI_FUNERAL-260515.zip
EN-RT-60-SAUDI-TURKISHCYCLIST-080415.zip,ES-RT-SAUDI_TURKISHCYCLIST-080415.zip
EN-RT-60-SINGAPORE-AMOSYEE-THOMAS-250615.zip,ES-RT-SINGAPORE_AMOSYEETHOMAS-250615.zip
EN-RT-60-SOTU-SOTUMEMES-TAREK-210115.zip,ES-RT-SOTUSOTUMEMES-210115.zip
EN-RT-60-SOUTHAFRICA-REACTIONS-KHEIRA-190415.zip,ES-RT-SOUTHAFRICA_REACTIONS-190415.zip
EN-RT-60-SPACEWIFI-SAKHR-160615.zip,ES-RT-SPACEWIFI-160615.zip
EN-RT-60-STRAIGHT-OUT-OF-COMPTON-140815.zip,ES-RT-STRAIGHTOUTCOMPTON-140815.zip
EN-RT-60-SWITZERLAND-FIFA-SAKHR-270515.zip,ES-RT-SWITZERLAND_FIFA-270515.zip
EN-RT-60-SYRIA-ALGOLANI-KHEIRA-280515.zip,ES-RT-SYRIA_ALGOLANI-280515.zip
EN-RT-60-SYRIA-ASSADISIS-SAKHR-250515.zip,ES-RT-SYRIA_ASSADISIS-250515.zip
EN-RT-60-SYRIA-PALMYRA-KHEIRA-210515.zip,ES-RT-SYRIA_PALMYRA-210515.zip
EN-RT-60-SYRIA-SAQAREB-SAKHR-040515.zip,ES-RT-SYRIA_SAQAREB-040515.zip
EN-RT-60-SYRIA-VR-SAKHR-290315.zip,ES-RT-SYRIA-290315.zip
EN-RT-60-SYRIA-YARMOUKCAMP-SUMMAQAH-060415.zip,ES-RT-SYRIA_YARMOUKCAMP-060415.zip
EN-RT-60-TAIWAN-FIREBALL-TABISH-280615.zip,ES-RT-TAIWAN_FIREBALL-280615.zip
EN-RT-60-TEST-DAILYMAIL-200915.zip,ES-RT-TESTDAILYMAIL-200915.zip
EN-RT-60-THAILAND-BANGKOK-180815.zip,ES-RT-THAILAND_BANGKOK-180815.zip
EN-RT-60-THICKE-GAYESUIT-110315.zip,ES-RT-THICKEGAYESUIT-110315.zip
EN-RT-60-TUNISIA-MARCH-300315.zip,ES-RT-TUNISIA_MARCH-300315.zip
EN-RT-60-TUNISIA-MUSEUMATTACK-180315.zip,ES-RT-TUNISIA_MUSEUMATTACK-180315.zip
EN-RT-60-TURKEY-ACTORREFUGEE-HAMAMOU-170315.zip,ES-RT-TURKEY_ACTORREFUGEE-170315.zip
EN-RT-60-TURKEY-CHINAATTACK-ITANI-090715.zip,ES-RT-TURKEY_CHINAATTACK-090715.zip
EN-RT-60-TURKEY-ELEXRESULT-SAKHR-080615.zip,ES-RT-TURKEY_ELEXRESULT-080615.zip
EN-RT-60-TURKEY-ERDOGANCHARACTER-SUMMAQAH-190415.zip,ES-RT-TURKEY_ERDOGANCHARACTER-190415.zip
EN-RT-60-TURKEY-SYRIANREFUGEESWEDDING-060815.zip,ES-RT-TURKEY_SYRIANREFUGEESWEDDING-060815.zip
EN-RT-60-UBER-HONGKONG-120815.zip,ES-RT-UBERHONGKONG-120815.zip
EN-RT-60-UK-DISMALAND-230815.zip,ES-RT-UK_DISMALAND-230815.zip
EN-RT-60-UK-ELECTIONCLASHES-TABISH-100515.zip,ES-RT-UK_ELECTIONCLASHES-100515.zip
EN-RT-60-UK-ISISFLAG-SAKHR-280615.zip,ES-RT-UK_ISISFLAG-280615.zip
EN-RT-60-UK-KANYE-TABISH-290615.zip,ES-RT-UK_KANYE-290615.zip
EN-RT-60-UK-KNIFEATTACK-TABISH-300715.zip,ES-RT-UK_KNIFEATTACK-300715.zip
EN-RT-60-UK-MHAIRIBLACK-YOMNA-150715.zip,ES-RT-UK_MHAIRIBLACK-150715.zip
EN-RT-60-UK-MILIFANDOM-SAKHR-230415.zip,ES-RT-UK_MILIFANDOM-230415.zip
EN-RT-60-UK-MILKTROLLEY-090815.zip,ES-RT-UK_MILKTROLLEY-090815.zip
EN-RT-60-UK-PARLYCOKE-SAKHR-270715.zip,ES-RT-UK_PARLYCOKE-270715.zip
EN-RT-60-UK-PHONESPYING-SAKHR-100615.zip,ES-RT-UK_PHONESPYING-100615.zip
EN-RT-60-UK-PLANECRASH-230815.zip,ES-RT-UK_PLANECRASH-230815.zip
EN-RT-60-UK-SCHOOLTERROR-SAKHR-070615.zip,ES-RT-UK_SCHOOLTERROR-070615.zip
EN-RT-60-UK-SEVENSEVEN-SAKHR-070715.zip,ES-RT-UK_SEVENSEVEN-070715.zip
EN-RT-60-UK-TATE-SAKHR-140615.zip,ES-RT-UK_TATE-140615.zip
EN-RT-60-UN-SYRIATEARS-SAKHR-190415.zip,ES-RT-SYRIATEARS-190415.zip
